appeal_district,trial_district,offence,sentence,no_complainant,no_male_complainant,no_female_complainant,no_appealant,no_male_appealant,no_female_appealant,no_public_witness,no_eye_witness,no_defense_witness,scn_decision
South-West,South-West,Dispute,,0,0,0,0,0,0,7,0,5,Dismissed
South-West,South-West,Dispute,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Trespassing,,0,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Civil_petition,,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Theft,,0,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Trespassing,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Unlawful_possession,,0,0,0,2,0,0,0,0,0,Dismissed
South-West,South-West,Fraud_impersonation,Prison_term,0,0,0,4,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Others,,3,0,0,2,0,0,0,0,0,Dismissed
North-Central,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,2,0,0,7,0,0,0,0,0,Granted
South-West,South-West,Unlawful_possession,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
South-West,,Dispute,,1,1,0,3,0,0,0,0,0,Granted
South-West,South-West,Dispute,,1,1,0,2,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
FCT,,Dispute,,3,0,1,4,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Granted
North-West,,Dispute,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Law_of_tort,Payment_damages,1,0,0,1,0,0,0,0,0,Granted
South-West,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Theft,,0,0,0,5,0,0,0,0,0,Dismissed
South-West,South-West,Others,,1,0,1,0,0,0,0,0,0,Dismissed
South-West,,Dispute,Prison_term_hard_labour,1,0,0,1,1,0,0,0,0,Dismissed
South-West,,Dispute,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,3,3,0,0,0,0,Dismissed
North-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,,Election_petition,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,5,0,0,5,0,0,0,0,0,Dismissed
South-West,,Dispute,,1,1,0,1,1,0,0,0,0,Dismissed
North-West,South-West,Civil_petition,,1,1,0,0,0,0,0,0,0,Granted
South-West,,Dispute,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
North-West,,Murder_manslaughter,Death,0,0,0,1,1,0,3,1,0,Granted
South-West,South-West,Dispute,,1,0,0,0,0,0,0,0,0,Granted
FCT,FCT,Others,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
FCT,FCT,Dispute,,1,1,0,2,0,0,0,0,0,Dismissed
South-West,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,Payment_damages,2,0,0,2,0,0,0,0,0,Dismissed
South-East,South-East,Law_of_tort,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,Payment_damages,1,0,0,1,0,0,0,0,0,Granted
South-East,,Dispute,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
South-East,South-East,Dispute,Others,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,Fine,1,0,0,3,0,0,0,0,0,Dismissed
South-South,,Dispute,Fine,0,0,0,0,0,0,0,0,0,Dismissed
North-Central,North-Central,Human_rights_violation,,2,0,0,1,0,0,0,0,0,Dismissed
FCT,North-Central,Rape_sexual_abuse,Fine,1,0,0,1,1,0,4,0,0,Dismissed
South-South,South-East,Dispute,Fine,2,0,0,0,0,0,0,0,0,Dismissed
South-South,South-East,Dispute,Others,4,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Others,Others,1,1,0,1,0,0,0,0,0,Dismissed
North-West,South-West,Dispute,,3,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Others,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Unlawful_termination_appointment,Payment_damages,1,0,1,0,0,0,0,1,1,Dismissed
South-West,,Dispute,Appeal_granted,0,0,0,1,0,0,0,0,0,Dismissed
North-West,South-West,Dispute,Appeal_dismissed,1,0,0,3,0,0,0,0,0,Dismissed
FCT,FCT,Dispute,Appeal_dismissed,2,0,0,3,0,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,1,1,0,1,1,0,0,0,0,Granted
South-West,,Dispute,Appeal_dismissed,2,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,,1,0,0,1,1,0,0,0,0,Dismissed
North-Central,,Others,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Civil_petition,Payment_damages,4,0,0,0,0,0,0,0,0,Granted
South-West,,Dispute,Appeal_dismissed,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
South-West,,Dispute,Appeal_dismissed,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Murder_manslaughter,Death,1,0,0,1,0,0,2,0,0,Dismissed
South-South,South-West,Dispute,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Appeal_dismissed,0,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Others,,0,0,0,3,0,0,0,0,0,Granted
South-West,South-West,Dispute,Payment_damages,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Others,Appeal_dismissed,1,0,0,1,0,0,0,0,0,Granted
North-West,,Dispute,Appeal_dismissed,3,1,0,1,0,0,0,0,0,Granted
South-East,,Law_of_tort,Appeal_dismissed,1,0,0,2,0,0,0,0,0,Dismissed
South-East,,Law_of_tort,Appeal_dismissed,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Others,Appeal_granted,2,0,0,1,0,0,0,0,0,Dismissed
South-West,,Civil_petition,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Human_rights_violation,Appeal_granted,3,0,0,3,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Appeal_granted,1,0,0,3,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Others,3,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Others,Others,1,0,0,1,0,0,0,0,0,Granted
South-West,,Law_of_tort,Appeal_dismissed,1,0,1,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Appeal_dismissed,0,0,0,4,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Appeal_granted,1,0,0,1,0,0,2,0,0,Dismissed
FCT,,Dispute,Appeal_dismissed,2,2,0,2,0,0,0,0,0,Granted
FCT,,Law_of_tort,Others,2,0,0,2,0,0,0,0,0,Dismissed
South-West,,Dispute,Appeal_dismissed,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Armed_robbery,Death,0,0,0,3,0,0,2,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,0,0,0,3,0,0,2,0,0,Dismissed
South-West,South-West,Others,,1,0,0,2,1,0,0,0,0,Dismissed
South-West,South-West,Unlawful_possession,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Unlawful_possession,Prison_term,1,0,0,1,1,0,0,0,0,Granted
North-West,FCT,Fraud_impersonation,Fine,3,0,0,0,1,0,0,0,0,Dismissed
South-South,,Unlawful_possession,Prison_term,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Unlawful_possession,Prison_term,2,0,1,1,0,0,2,0,0,Dismissed
South-West,South-West,Others,,2,0,0,8,0,0,0,0,0,Dismissed
South-South,South-South,Civil_petition,Others,1,0,0,3,0,0,0,0,0,Dismissed
North-West,North-West,Conspiracy,Appeal_granted,0,0,0,1,0,0,0,0,1,Dismissed
FCT,,Armed_robbery,Death,2,0,0,1,0,0,0,0,0,Dismissed
FCT,FCT,Others,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
North-West,North-West,Fraud_impersonation,Prison_term,1,1,0,1,1,0,1,0,0,Dismissed
South-South,South-South,Others,Appeal_dismissed,0,0,0,0,0,0,0,0,0,Dismissed
FCT,North-Central,Murder_manslaughter,Prison_term,1,0,0,1,0,0,1,0,0,Dismissed
South-West,South-West,Dispute,Appeal_granted,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Appeal_dismissed,0,0,0,5,0,0,0,0,0,Granted
South-West,South-West,Law_of_tort,Payment_damages,1,0,0,1,0,0,0,0,0,Dismissed
South-East,,Dispute,Others,1,0,0,1,0,0,0,0,0,Granted
North-West,South-West,Human_rights_violation,Appeal_dismissed,1,0,0,1,0,0,0,0,0,Dismissed
FCT,FCT,Fraud_impersonation,Appeal_dismissed,1,0,0,3,0,0,4,0,6,Dismissed
North-West,North-West,Murder_manslaughter,Death,2,0,0,4,3,0,5,0,0,Dismissed
North-West,North-West,Murder_manslaughter,Death,1,0,0,3,0,0,0,5,2,Dismissed
North-West,North-West,Murder_manslaughter,Death,1,1,0,1,1,0,2,0,0,Dismissed
South-West,North-West,Dispute,Appeal_granted,1,0,0,0,0,0,0,0,0,Dismissed
North-Central,,Others,Prison_term,1,0,0,2,2,0,6,0,3,Dismissed
FCT,FCT,Civil_petition,Appeal_granted,5,0,0,1,1,0,0,0,0,Dismissed
North-West,,Dispute,Appeal_dismissed,1,0,0,1,0,1,0,0,0,Dismissed
South-South,South-South,Trespassing,Payment_damages,1,0,0,1,0,0,0,0,0,Granted
South-West,,Murder_manslaughter,,1,0,0,20,0,0,0,0,0,Granted
FCT,North-Central,Civil_petition,Appeal_dismissed,3,0,0,1,0,0,0,0,0,Granted
North-West,,Murder_manslaughter,Death,1,0,0,1,0,0,0,0,0,Dismissed
North-West,North-West,Conspiracy,Prison_term,0,0,0,1,1,0,0,10,2,Dismissed
North-East,North-East,Dispute,Appeal_dismissed,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Civil_petition,Payment_damages,0,0,0,4,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Appeal_dismissed,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Dispute,Appeal_granted,0,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Law_of_tort,Payment_damages,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Fraud_impersonation,Others,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Others,Prison_term,1,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Armed_robbery,Death,1,0,0,1,0,0,3,0,0,Dismissed
South-West,,Dispute,Appeal_dismissed,2,0,0,2,0,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,1,0,0,1,0,1,1,0,0,Dismissed
South-South,South-East,Civil_petition,Appeal_dismissed,0,0,0,6,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Payment_damages,2,0,0,3,0,0,0,0,0,Dismissed
FCT,North-Central,Conspiracy,Prison_term,1,0,0,2,0,0,0,0,0,Granted
South-West,South-West,Civil_petition,Others,0,0,0,2,0,0,0,0,0,Granted
South-West,,Law_of_tort,Appeal_dismissed,0,0,0,1,0,0,0,0,0,Dismissed
North-West,,Claim_for_recovery,Others,1,0,0,1,0,0,0,0,0,Dismissed
FCT,,Human_rights_violation,Appeal_granted,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Others,Appeal_dismissed,1,0,0,3,0,0,0,0,0,Granted
North-West,,Unlawful_termination_appointment,Appeal_dismissed,13,0,0,4,0,0,0,0,0,Dismissed
South-South,South-East,Civil_petition,Appeal_dismissed,4,0,0,5,0,0,0,0,0,Dismissed
South-West,,Dispute,Appeal_granted,2,1,1,1,1,0,0,0,0,Dismissed
South-West,South-West,Theft,Others,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Civil_petition,Appeal_granted,1,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Unlawful_possession,Appeal_dismissed,1,0,0,1,0,0,0,3,3,Dismissed
North-West,North-West,Dispute,Appeal_dismissed,1,1,0,3,0,0,0,0,0,Granted
FCT,,Others,Others,4,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Others,Appeal_dismissed,1,0,0,1,0,0,0,0,0,Dismissed
North-West,North-West,Dispute,Others,2,0,0,2,0,0,0,0,0,Granted
North-Central,North-Central,Claim_for_recovery,Appeal_granted,1,0,0,1,0,0,0,0,0,Granted
North-West,North-West,Murder_manslaughter,Death,1,0,0,1,0,0,0,0,1,Dismissed
South-West,South-West,Unlawful_termination_appointment,Appeal_granted,1,0,0,3,0,0,3,0,0,Granted
FCT,FCT,Murder_manslaughter,Death,1,0,0,1,0,0,1,0,0,Dismissed
North-West,North-West,Murder_manslaughter,Appeal_granted,1,0,0,1,0,1,4,0,0,Dismissed
North-West,,Civil_petition,Appeal_dismissed,2,0,0,1,0,0,0,0,0,Dismissed
North-Central,North-Central,Unlawful_possession,Prison_term,1,0,0,8,8,0,0,0,0,Granted
FCT,North-Central,Murder_manslaughter,Death,1,0,0,4,3,0,4,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,1,0,0,1,0,0,1,0,0,Dismissed
South-East,,Unlawful_possession,Appeal_dismissed,1,0,0,1,0,0,0,0,0,Granted
FCT,,Election_petition,Appeal_granted,5,0,0,1,0,0,0,0,0,Dismissed
South-East,,Election_petition,,4,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Unlawful_possession,Appeal_dismissed,1,0,0,1,0,0,0,0,0,Dismissed
North-East,North-East,Others,,1,0,0,1,0,0,0,0,0,Dismissed
North-Central,North-Central,Others,Appeal_granted,1,0,0,1,0,0,0,0,0,Dismissed
South-South,,Dispute,Appeal_dismissed,1,0,0,3,0,0,0,0,0,Granted
South-West,South-West,Curroption_abuse_office,Appeal_granted,1,0,0,1,0,0,0,0,0,Granted
North-West,North-West,Dispute,Payment_damages,1,0,0,1,0,0,0,0,0,Dismissed
North-Central,,Dispute,Others,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Civil_petition,Appeal_dismissed,1,0,0,2,0,0,0,0,0,Dismissed
South-South,,Unlawful_termination_appointment,Others,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,Appeal_dismissed,1,0,0,2,0,0,0,5,4,Dismissed
South-South,South-South,Unlawful_possession,Appeal_dismissed,1,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,Appeal_granted,1,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,Appeal_dismissed,1,0,0,1,0,0,0,0,0,Dismissed
North-Central,,Claim_for_recovery,Prison_term,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Prison_term,1,0,0,3,0,0,0,0,0,Dismissed
South-East,South-East,Others,,1,0,0,1,0,0,0,0,0,Dismissed
FCT,FCT,Others,Appeal_granted,5,0,0,0,0,0,0,0,0,Dismissed
South-South,South-West,Unlawful_possession,Prison_term,1,1,0,1,0,0,0,0,0,Dismissed
FCT,FCT,Dispute,Appeal_dismissed,1,0,0,0,0,0,0,0,0,Dismissed
North-Central,,Civil_petition,,10,0,0,0,0,0,0,0,0,Granted
North-West,North-West,Fraud_impersonation,Appeal_dismissed,2,0,0,3,0,0,0,0,0,Dismissed
North-West,North-West,Others,Payment_damages,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Law_of_tort,Appeal_dismissed,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Armed_robbery,Death,1,0,0,1,1,0,1,0,0,Granted
South-West,South-West,Armed_robbery,Death,1,0,0,1,0,0,5,0,0,Granted
South-South,South-South,Dispute,Appeal_dismissed,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,Appeal_dismissed,1,0,1,3,0,0,2,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Prison_term,1,0,0,1,1,0,0,0,0,Dismissed
FCT,FCT,Rape_sexual_abuse,Prison_term,1,0,0,1,1,0,4,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Prison_term,1,0,0,1,1,0,0,0,0,Dismissed
South-South,,Dispute,,1,1,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Armed_robbery,Prison_term,1,0,0,1,1,0,2,0,0,Dismissed
South-South,South-South,Others,Appeal_dismissed,1,0,0,1,1,0,0,0,0,Granted
South-East,South-East,Dispute,Appeal_granted,5,0,0,0,0,0,0,0,0,Dismissed
South-South,South-East,Others,Payment_damages,6,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Law_of_tort,Appeal_dismissed,0,0,0,0,0,0,0,0,0,Dismissed
North-Central,North-Central,Armed_robbery,Prison_term,1,0,0,6,0,0,0,0,0,Granted
South-South,,Unlawful_termination_appointment,Others,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Theft,Prison_term,1,0,0,0,0,0,2,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,1,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,1,0,0,4,0,0,0,0,0,Granted
South-East,South-East,Fraud_impersonation,Prison_term,1,1,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Dispute,Appeal_granted,1,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Unlawful_termination_appointment,Appeal_granted,2,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,1,0,0,1,1,0,4,0,0,Dismissed
FCT,FCT,Dispute,Appeal_dismissed,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Dispute,Others,0,0,0,0,0,0,0,0,0,Granted
South-West,,Dispute,Appeal_dismissed,0,0,0,0,0,0,0,0,7,Dismissed
South-West,,Dispute,Appeal_granted,2,0,0,2,0,0,0,0,0,Granted
South-South,South-South,Armed_robbery,Death,1,0,0,1,1,0,3,0,0,Dismissed
South-West,,Others,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Unlawful_termination_appointment,Others,16,0,0,0,0,0,0,0,0,Dismissed
FCT,FCT,Fraud_impersonation,Prison_term,1,0,0,1,0,0,12,0,2,Dismissed
South-South,,Murder_manslaughter,Death,1,0,0,0,0,0,6,0,0,Dismissed
South-South,South-East,Civil_petition,,1,0,0,1,0,0,0,0,0,Granted
South-East,South-East,Murder_manslaughter,Appeal_dismissed,1,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Murder_manslaughter,Appeal_dismissed,1,0,0,5,0,0,12,0,0,Dismissed
South-East,South-East,Civil_petition,Payment_damages,2,0,0,3,0,0,0,0,0,Dismissed
South-South,South-East,Civil_petition,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
South-East,,Trespassing,,0,0,0,0,0,0,0,0,0,Dismissed
North-Central,,Unlawful_possession,Appeal_granted,2,0,0,3,0,0,0,0,0,Dismissed
South-South,South-East,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Human_rights_violation,,1,0,0,3,3,0,0,0,0,Dismissed
South-South,,Dispute,Appeal_dismissed,1,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,Appeal_granted,1,0,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Fraud_impersonation,Appeal_granted,1,0,0,1,0,0,0,0,0,Dismissed
North-West,,Armed_robbery,Death,1,0,0,0,0,0,2,0,0,Dismissed
South-East,,Others,,1,0,0,2,0,0,0,0,0,Dismissed
South-East,,Murder_manslaughter,Prison_term,1,0,0,4,0,0,6,0,3,Dismissed
South-South,South-South,Others,Appeal_granted,1,0,0,2,0,0,0,0,0,Granted
North-East,North-East,Election_petition,Appeal_dismissed,3,0,0,3,0,0,0,0,0,Granted
South-South,South-South,Murder_manslaughter,Prison_term,1,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Rape_sexual_abuse,Prison_term,1,0,0,1,1,0,4,0,0,Granted
South-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,,Fraud_impersonation,Prison_term,1,0,0,1,0,0,6,0,0,Dismissed
South-East,,Election_petition,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Others,Payment_damages,2,0,0,1,1,0,0,0,0,Granted
South-South,South-South,Armed_robbery,Death,1,0,0,1,1,0,3,0,2,Dismissed
South-West,South-West,Civil_petition,,1,0,0,3,0,0,0,0,0,Dismissed
South-South,South-West,Armed_robbery,Death,1,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,Appeal_granted,0,0,0,0,0,0,0,0,0,Granted
North-West,North-Central,Dispute,Appeal_granted,1,0,0,1,0,0,0,0,0,Dismissed
North-West,,Murder_manslaughter,Death,1,0,0,1,1,0,4,0,0,Dismissed
South-East,South-East,Murder_manslaughter,Death,1,0,0,6,0,0,5,0,0,Dismissed
South-West,South-West,Human_rights_violation,Appeal_dismissed,0,0,0,1,1,0,0,3,3,Dismissed
FCT,,Civil_petition,Appeal_granted,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
FCT,FCT,Dispute,,1,1,0,1,0,1,0,0,0,Dismissed
South-South,South-South,Dispute,Death,1,1,0,8,8,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death_x000D_,1,1,0,1,1,0,0,6,0,Granted
South-South,South-South,Dispute,,1,1,0,1,1,0,0,4,2,Granted
South-South,South-South,Theft,,1,1,0,1,1,0,0,0,1,Granted
South-South,South-South,Murder_manslaughter,Death,1,0,1,4,4,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,1,1,0,1,1,0,3,0,0,Dismissed
South-South,South-South,Dispute,,1,1,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,1,0,1,1,0,0,0,0,Granted
FCT,FCT,Others,,0,0,0,6,6,0,0,0,0,Dismissed
South-South,South-South,Others,,1,1,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Theft,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Theft,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,1,0,1,0,0,0,0,0,Granted
South-West,South-West,Election_petition,,4,4,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Armed_robbery,Death,1,1,0,3,3,0,0,0,2,Dismissed
South-West,South-West,Dispute,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Dispute,Payment_damages,1,1,0,1,0,1,0,3,0,Granted
South-East,South-South,Unlawful_termination_appointment,,16,0,0,2,0,0,0,0,0,Dismissed
FCT,FCT,Dispute,,2,2,0,1,1,0,12,0,0,Dismissed
South-South,South-South,Others,Death,1,1,0,2,2,0,6,0,0,Dismissed
South-West,South-West,Dispute,,2,0,2,1,0,0,0,0,0,Granted
South-East,South-East,Court_order_violation,,1,1,0,1,1,0,0,0,0,Granted
South-South,South-South,Dispute,Payment_damages,1,1,0,1,1,0,0,0,0,Granted
South-South,South-South,Dispute,Death,0,0,0,1,1,0,3,0,0,Dismissed
South-East,South-East,Dispute,Death,0,0,0,4,0,0,0,0,0,Dismissed
South-East,South-East,Others,,1,1,0,5,0,0,12,0,0,Dismissed
South-East,South-East,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Civil_petition,,3,0,0,3,0,0,0,0,0,Dismissed
South-East,South-East,Civil_petition,,1,1,0,6,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,,37,0,0,37,0,0,0,0,0,Dismissed
North-Central,North-Central,Law_of_tort,Payment_damages,1,1,0,3,3,0,0,0,0,Dismissed
North-Central,North-Central,Unlawful_termination_appointment,,1,1,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Human_rights_violation,,1,0,0,4,4,0,0,0,0,Dismissed
South-South,South-South,Dispute,,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,Appeal_granted,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,1,0,1,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,Prison_term_hard_labour,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Fraud_impersonation,,0,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Armed_robbery,Death,0,0,0,2,2,0,4,0,0,Granted
South-East,South-East,Dispute,,1,1,0,1,1,0,0,0,0,Granted
South-East,South-East,Dispute,,1,1,0,0,0,0,0,3,0,Dismissed
South-East,South-East,Dispute,,1,1,0,2,2,0,0,0,0,Dismissed
FCT,FCT,Dispute,,3,3,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Others,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Dispute,Death,2,0,0,1,0,0,2,0,0,Granted
North-West,North-West,Dispute,Death,2,2,0,3,3,0,0,0,0,Dismissed
South-South,South-South,Dispute,Others,1,1,0,1,1,0,0,0,0,Granted
South-East,South-East,Others,,1,1,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Civil_petition,Death,1,1,0,4,4,0,6,0,3,Dismissed
South-South,South-South,Others,,1,1,0,2,2,0,0,0,0,Granted
North-East,North-East,Election_petition,,5,5,0,2,2,0,0,0,0,Granted
South-South,South-South,Dispute,Prison_term_hard_labour,0,0,0,1,1,0,0,0,0,Granted
South-South,South-South,Dispute,,0,0,0,4,0,0,0,0,0,Granted
South-East,South-South,Rape_sexual_abuse,Prison_term_hard_labour,2,1,1,1,1,0,0,0,0,Granted
South-South,South-South,Dispute,,0,0,0,3,3,0,0,0,0,Dismissed
South-East,South-East,Murder_manslaughter,,0,0,0,4,4,0,0,0,0,Granted
South-South,South-South,Dispute,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,2,0,0,2,0,0,0,0,0,Dismissed
South-East,South-East,Fraud_impersonation,Prison_term,1,0,1,1,1,0,6,0,1,Dismissed
South-South,South-South,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Election_petition,,3,3,0,1,1,0,0,0,0,Granted
South-South,South-South,Others,Payment_damages,2,2,0,2,2,0,0,0,0,Granted
South-South,South-South,Murder_manslaughter,Death,0,0,0,7,7,0,7,0,0,Dismissed
South-South,South-South,Armed_robbery,Death,1,1,0,1,1,0,3,0,0,Dismissed
South-West,South-West,Civil_petition,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,Death,1,1,0,1,1,0,5,0,0,Dismissed
South-West,South-West,Fraud_impersonation,,1,1,0,1,1,0,0,1,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,3,3,0,4,0,0,Dismissed
South-West,South-West,Theft,,1,0,1,1,1,0,0,0,0,Dismissed
South-South,South-South,Dispute,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
North-West,North-Central,Dispute,,1,1,0,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Civil_petition,,3,0,0,3,0,0,0,0,0,Granted
